"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
667670,"Rooker, Brent","R","R",31.38413223639774,27.216434356785108,27.786424804371972,-16.687117903738166,32.80560420648967,1.421471970091913
624413,"Alonso, Pete","R","R",24.397816569211887,27.14281370792842,30.463362070933417,2.6905218395951076,28.263390918913128,3.865574349701243
592206,"Castellanos, Nick","R","R",29.801627780353318,29.03611660351782,27.295787130411394,-19.502220477942675,30.78591308719842,0.9842853068451074
671218,"Ramos, Heliot","R","R",24.939869809933676,27.63509213583179,29.718470302526224,-5.1136294588121824,27.579312711462663,2.6394429015289806
681624,"Pages, Andy","R","R",31.571935401991798,29.81032383078719,17.260001159099115,-16.880784532170843,31.281684448975554,-0.2902509530162373
641355,"Bellinger, Cody","L","L",32.717149303658296,21.03212304600008,25.156266720817452,-13.223871699822606,30.08291898461286,-2.6342303190454386
677951,"Witt Jr., Bobby","R","R",27.4586412907125,25.22649204350365,32.54010304372047,-17.03298451692373,27.798591953654796,0.3399506629422963
678882,"Rafaela, Ceddanne","R","R",30.49056792069948,26.782601397792256,23.3715896990251,-19.0459482261656,33.51967177225217,3.0291038515527013
518692,"Freeman, Freddie","L","L",29.147584754584866,30.3834684143677,32.86724713806153,0.5189528580608024,26.993048239701775,-2.1545365148831026
668227,"Arozarena, Randy","R","R",22.57866485908006,24.21268542124735,18.921886901005465,3.1752945290816337,31.23593330453899,8.657268445458916
680776,"Duran, Jarren","L","L",28.54725140046869,30.500117753568375,24.036921281363778,-1.7865508168103126,31.711843136756034,3.164591736287339
686469,"Pasquantino, Vinnie","L","L",28.61871810985254,31.150249923802722,39.38038783320328,-21.929455623855993,32.09008888202685,3.4713707721743
691406,"Caminero, Junior","R","R",28.23679998976382,28.636935332181455,26.865912289670113,-34.62044369070067,35.92782052530549,7.691020535541662
682998,"Carroll, Corbin","L","L",30.662640891007836,29.91106558614071,25.803038003433944,-2.7332803967956494,36.640633145002695,5.977992253994856
668930,"Turang, Brice","L","L",30.597524236436143,26.81307979797676,26.01713697390752,-5.754753552138294,31.8474053861486,1.249881149712469
671739,"Harris II, Michael","L","L",31.006390671284482,28.526958167712518,20.551760612291016,-18.004595611875416,30.786742096625947,-0.21964857465852944
641487,"Crawford, J.P.","L","L",34.92258681308943,27.636427542271203,30.03979699033881,-29.373077114741488,36.60849635659762,1.6859095435081803
607208,"Turner, Trea","R","R",28.879394501781032,28.788701673313344,38.294901820455586,0.7206958376783252,29.33639893153884,0.4570044297578024
