,name,batter,bat_speed,attack_angle,vba,ttc
216,Wenceel Pérez,672761,70.597,8.018,-29.759,0.135
217,Kody Clemens,665019,72.223,12.387,-26.972,0.138
218,Chandler Simpson,802415,63.872,3.416,-30.188,0.135
219,Royce Lewis,668904,73.66,10.795,-28.926,0.149
220,Ramón Urías,602104,70.865,13.732,-27.107,0.148
221,José Caballero,676609,68.798,9.919,-31.561,0.134
222,Adley Rutschman,668939,70.069,9.425,-34.578,0.134
223,Pedro Pagés,686780,72.621,7.111,-30.457,0.134
224,Colton Cowser,681297,73.524,16.074,-39.142,0.136
225,Ezequiel Tovar,678662,71.553,10.847,-36.042,0.144
226,Kyle Isbel,664728,69.969,2.146,-24.139,0.138
227,Jared Triolo,669707,71.405,8.49,-37.302,0.148
228,Andrés Giménez,665926,69.327,8.289,-31.394,0.139
229,Jake Mangum,663968,67.273,2.217,-29.254,0.132
230,Rhys Hoskins,656555,71.011,16.756,-33.636,0.157
231,Víctor Caratini,605170,72.407,10.824,-35.027,0.132
232,Brayan Rocchio,677587,69.862,10.783,-28.836,0.143
233,Nick Gonzales,693304,70.549,8.907,-33.193,0.146
234,Tyler Stephenson,663886,70.167,13.366,-37.523,0.144
235,Freddy Fermin,666023,69.393,8.774,-34.553,0.143
236,Jose Iglesias,578428,68.784,2.629,-33.516,0.131
237,Jacob Young,696285,67.866,5.853,-31.005,0.141
238,Michael Toglia,669911,72.663,14.845,-35.834,0.143
239,Sean Murphy,669221,72.61,12.454,-30.835,0.148
240,Ryan Mountcastle,663624,75.304,7.494,-36.05,0.137
241,Danny Jansen,643376,69.377,14.816,-29.857,0.135
242,Joey Bart,663698,74.29,8.728,-34.088,0.134
243,Mauricio Dubón,643289,67.984,5.498,-29.821,0.15
244,Jake Meyers,676694,68.316,6.875,-32.405,0.139
245,Casey Schmitt,669477,71.673,11.387,-35.047,0.143
246,Jj Bleday,668709,71.732,15.497,-31.631,0.143
247,Jake Burger,669394,74.685,7.7,-24.934,0.136
248,Gabriel Moreno,672515,70.925,8.304,-33.782,0.133
249,Alex Call,669743,65.733,6.898,-33.383,0.135
250,Tommy Edman,669242,70.261,9.976,-26.642,0.134
251,Daylen Lile,695734,69.154,9.197,-37.909,0.141
252,Santiago Espinal,669289,68.41,6.734,-34.52,0.148
253,Luis Urías,649966,69.362,11.174,-27.791,0.147
254,Jordan Westburg,676059,70.794,10.539,-29.78,0.13
255,Jorge Soler,624585,74.077,8.415,-33.568,0.142
256,Rowdy Tellez,642133,74.762,8.014,-29.725,0.146
257,Roman Anthony,701350,75.146,10.639,-30.097,0.134
258,Kyle Higashioka,543309,70.874,12.571,-32.292,0.139
259,Taylor Walls,670764,68.537,10.124,-34.33,0.139
260,Michael Taylor,572191,71.821,13.591,-31.193,0.133
261,Noelvi Marte,682622,73.255,9.737,-30.954,0.137
262,Pavin Smith,656976,72.038,13.37,-32.75,0.139
263,Starling Marte,516782,72.588,8.606,-35.359,0.137
264,Brooks Baldwin,681460,70.546,11.182,-29.931,0.137
265,Tyrone Taylor,621438,70.292,8.057,-32.313,0.147
266,Connor Norby,681393,69.341,19.701,-41.441,0.137
267,Dane Myers,667472,70.946,10.958,-27.139,0.138
268,Romy Gonzalez,663853,74.253,5.965,-27.575,0.125
269,Joc Pederson,592626,73.4,9.954,-28.366,0.141
270,Kyle Teel,691019,69.384,11.196,-38.802,0.133
271,Giancarlo Stanton,519317,80.671,10.521,-27.941,0.149
272,Javier Sanoja,691594,68.219,2.203,-20.332,0.147
273,Miguel Andújar,609280,71.813,6.364,-25.853,0.148
274,Ben Williamson,810938,69.634,2.49,-32.922,0.135
275,Trey Sweeney,700242,73.586,8.14,-26.601,0.139
276,Thomas Saggese,695336,69.773,7.705,-37.826,0.135
277,Christopher Morel,666624,75.969,14.924,-27.262,0.148
278,Mitch Garver,641598,71.843,15.819,-29.423,0.139
279,Riley Adams,656180,78.366,8.461,-34.657,0.137
280,Dylan Crews,686611,73.326,6.625,-26.532,0.134
281,Heriberto Hernandez,681715,73.336,15.664,-30.024,0.144
282,Miguel Rojas,500743,68.04,7.515,-32.074,0.142
283,Yoán Moncada,660162,73.41,12.085,-38.247,0.137
284,Coby Mayo,691723,74.763,10.821,-35.583,0.134
285,Francisco Álvarez,682626,74.067,7.792,-29.908,0.134
286,Abraham Toro,647351,69.559,11.186,-31.971,0.15
287,Myles Straw,664702,66.876,6.55,-35.748,0.139
288,Kyle Farmer,571657,66.634,12.742,-33.539,0.14
289,Colson Montgomery,695657,77.113,11.594,-32.883,0.138
290,Randal Grichuk,545341,74.108,10.211,-28.373,0.142
291,Kristian Campbell,692225,73.266,11.266,-34.662,0.126
292,Henry Davis,680779,73.863,8.499,-26.362,0.135
293,Luis Torrens,620443,70.778,9.79,-29.829,0.139
294,Jose Trevino,624431,68.888,9.101,-23.302,0.143
295,Elías Díaz,553869,72.758,6.198,-29.049,0.129
296,Blaze Alexander,677942,71.972,8.74,-36.073,0.141
297,Lamonte Wade,664774,70.004,9.08,-31.825,0.131
298,Cole Young,702284,71.302,7.59,-28.055,0.131
299,Dominic Canzone,686527,73.105,12.113,-32.105,0.137
300,Dylan Carlson,666185,68.662,10.713,-36.081,0.137
301,Curtis Mead,678554,73.411,4.778,-32.703,0.134
302,Michael Massey,686681,70.109,13.397,-31.452,0.14
303,Dylan Moore,664238,71.735,7.693,-31.069,0.136
304,Davis Schneider,676914,71.521,20.624,-33.635,0.136
305,Oswald Peraza,672724,73.542,7.538,-26.264,0.143
306,Eli White,642201,72.153,9.132,-34.441,0.136
307,Enrique Hernández,571771,71.159,10.196,-30.045,0.145
308,Daulton Varsho,662139,75.609,12.82,-29.713,0.142
309,Brady House,691781,72.491,8.691,-35.448,0.142
310,Edmundo Sosa,624641,72.3,10.155,-33.844,0.153
311,Anthony Santander,623993,72.148,7.862,-24.14,0.137
312,Will Benson,666181,71.785,14.197,-33.506,0.142
313,Tyler Fitzgerald,666149,69.002,13.597,-35.196,0.147
314,Kameron Misner,670224,73.118,12.387,-36.986,0.146
315,Nick Fortes,663743,71.969,3.434,-19.58,0.139
316,Jake Bauers,641343,76.476,12.104,-34.493,0.138
