name,batter,bat_speed,attack_angle,vba,hba,zone_top,zone_bot,ttc,swing_length,side,batter_depth,batter_distance,contact_depth,avg,obp,slg,bb_rate,k_rate
Mookie Betts,605141,69.003,9.25,-34.595,-5.464,38.724,18.204,0.139,7.031,R,25.700730688827704,28.642898316671054,7.496571935723746,0.258,0.326,0.406,9.2,10.3
Bryson Stott,681082,69.337,7.517,-32.75,2.057,40.308,19.067999999999998,0.142,7.197,L,26.6200586565468,23.709635993663568,1.595938464584242,0.257,0.328,0.391,9.6,16.3
Luis Arráez,650333,62.467,5.497,-37.403,4.857,39.372,18.36,0.128,5.848,L,34.31262537479633,26.019936146158308,-2.8280356675852505,0.292,0.327,0.392,5.0,3.1
Jackson Holliday,702616,70.589,8.296,-31.848,5.594,40.668,19.008000000000003,0.133,6.901,L,25.861615602198786,27.564199662947093,0.3149807572500298,0.242,0.314,0.375,8.6,21.6
Trea Turner,607208,71.233,8.161,-27.885,-3.125,41.7,20.472,0.145,7.559,R,28.879394501781032,28.788701673313344,0.4570044297578024,0.304,0.355,0.457,6.7,16.7
Ozzie Albies,645277,68.965,12.721,-34.905,-5.309,38.928000000000004,18.804,0.143,7.216,L,35.25220126607613,23.22029421174746,1.6274301707022194,0.24,0.306,0.365,8.2,14.1
Ozzie Albies,645277,68.965,12.721,-34.905,-5.309,38.928000000000004,18.804,0.143,7.216,R,32.9359030563677,17.452103621966323,3.896913213864345,0.24,0.306,0.365,8.2,14.1
Freddie Freeman,518692,69.831,10.604,-43.05,1.101,44.64,21.552,0.134,6.863,L,29.147584754584862,30.3834684143677,-2.1545365148831026,0.295,0.367,0.502,9.6,20.4
Anthony Volpe,683011,72.622,10.984,-31.536,5.618,40.728,19.14,0.136,7.248,R,28.66808613849478,29.201607080443285,-3.653733368378584,0.212,0.272,0.391,7.2,25.2
Trent Grisham,663757,70.943,16.621,-30.867,1.881,43.344,20.592,0.146,7.611,L,33.30819154011998,31.00672799073505,-9.213773167183298,0.235,0.348,0.464,14.1,23.6
Lars Nootbaar,663457,73.442,9.206,-27.945,-3.09,40.848,19.572,0.128,6.891,L,29.121148799097263,27.861521840116744,5.624267362974915,0.234,0.325,0.361,11.0,20.4
Matt Mclain,680574,69.655,11.469,-32.029,-0.005,37.128,16.428,0.134,6.85,R,28.094276599794288,27.05641732269301,4.05964405069179,0.22,0.3,0.343,9.5,28.9
Jonathan India,663697,71.938,9.075,-28.201,-4.644,40.392,18.636,0.139,7.301,R,28.706098821465908,27.947673706899558,1.9691128110137857,0.233,0.323,0.346,9.5,18.7
Jung Hoo Lee,808982,68.317,5.202,-39.442,-4.636,39.768,17.604,0.15,7.529,L,26.682784783039235,21.116963757884022,3.5264058894452552,0.266,0.327,0.407,7.6,11.5
Wyatt Langford,694671,73.196,16.805,-33.738,-3.192,41.135999999999996,19.740000000000002,0.131,7.027,R,28.844675187150283,27.372052875228945,3.1711557110748343,0.241,0.344,0.431,12.9,26.4
Jordan Beck,687597,73.202,10.676,-32.765,-3.253,43.403999999999996,20.64,0.144,7.724,R,17.651456159266406,29.47327953151512,9.97714414650963,0.258,0.317,0.416,7.3,29.6
José Altuve,514888,69.49,15.37,-28.768,-5.709,34.272,15.48,0.149,7.575,R,12.835284157711104,30.1400005439936,17.26780965075162,0.265,0.329,0.442,8.4,16.7
Miguel Vargas,678246,70.623,11.923,-35.438,-3.015,40.788,19.188,0.147,7.609,R,30.588444424348477,28.06749565409232,4.724753688455785,0.234,0.316,0.401,9.8,17.6
Cj Abrams,682928,72.379,10.851,-27.265,-3.875,41.976,18.888,0.143,7.598,L,27.835222635617303,30.03325299345148,3.860022162229317,0.257,0.315,0.433,5.8,19.7
Andy Pages,681624,72.558,7.844,-40.562,-4.081,41.867999999999995,19.344,0.148,7.89,R,31.5719354019918,29.81032383078719,-0.2902509530162373,0.272,0.313,0.461,4.6,21.6
Mike Yastrzemski,573262,71.149,10.96,-30.426,-2.705,40.512,19.14,0.144,7.489,L,29.047341378911774,24.682245666936502,1.2349428646838492,0.233,0.333,0.403,12.9,19.4
Bo Bichette,666182,69.123,4.459,-37.501,1.329,44.400000000000006,20.88,0.144,7.273,R,27.36635047873597,25.0993177612157,-2.823369931705295,0.311,0.357,0.483,6.4,14.5
Spencer Steer,668715,70.856,12.434,-28.327,-4.14,39.864000000000004,18.672,0.142,7.389,R,29.04075955815314,25.626031295355475,3.686685300117862,0.238,0.312,0.411,9.0,22.7
George Springer,543807,73.711,13.095,-35.15,-0.348,42.912,19.692,0.139,7.497,R,26.9817570062644,27.17851120751984,-4.655892967054473,0.309,0.399,0.56,11.8,18.9
Carlos Correa,621043,73.929,7.757,-33.117,-1.71,43.2,20.64,0.133,7.208,R,25.759084728604773,28.79055732913448,2.6965931905183647,0.276,0.332,0.402,7.7,19.3
Sal Frelick,686217,68.086,8.518,-28.133,-1.674,37.332,17.244,0.143,7.111,L,30.92039121089144,27.366609162600565,-3.132216030837683,0.288,0.351,0.405,7.9,13.5
Nico Hoerner,663538,68.43,5.849,-33.27,-1.857,40.092,18.875999999999998,0.143,7.184,R,29.75503620124372,27.563434194157757,-2.6303612601817283,0.297,0.345,0.394,6.0,7.6
Kyle Tucker,663656,72.052,11.645,-33.873,-8.15,41.448,19.32,0.143,7.555,L,27.85569555373153,30.200251897809984,0.5137858270369532,0.266,0.377,0.464,14.6,14.7
Michael Busch,683737,69.556,16.26,-36.716,-1.009,39.552,18.66,0.138,7.014,L,30.97619156423464,26.491511118705397,1.5419501064049472,0.261,0.343,0.523,9.5,23.5
Josh Smith,669701,68.973,8.449,-36.499,-1.635,38.304,17.796,0.133,6.727,L,31.76427598257892,27.10464689030448,-0.9892018339644332,0.251,0.335,0.366,9.8,17.8
Andrew Mccutchen,457705,71.121,14.514,-34.457,-0.744,41.052,19.44,0.147,7.651,R,29.808843592091723,28.981477655030293,-4.911471865638706,0.239,0.333,0.367,12.2,21.4
Pete Crow-Armstrong,691718,72.653,14.594,-34.846,-3.541,37.392,17.580000000000002,0.136,7.239,L,30.248640860108186,26.61815481270101,5.938052700952581,0.247,0.287,0.481,4.5,24.0
Salvador Pérez,521692,72.935,12.426,-34.178,-5.319,44.124,20.52,0.147,7.849,R,29.5712904498446,27.29221372285295,0.8497416871403711,0.236,0.284,0.446,4.4,19.5
Gavin Sheets,657757,74.851,8.513,-27.588,-7.733,41.46,19.848,0.141,7.755,L,29.25310739721635,29.15615901760824,4.851930975765559,0.252,0.317,0.429,8.1,19.6
Xavier Edwards,669364,66.564,2.464,-31.125,2.77,39.348,17.808,0.131,6.368,L,20.71897528642928,24.458100081537165,6.968773583288007,0.283,0.343,0.353,7.9,14.2
Xavier Edwards,669364,66.564,2.464,-31.125,2.77,39.348,17.808,0.131,6.368,R,17.649110897342364,24.269582759163335,12.516755720104612,0.283,0.343,0.353,7.9,14.2
Masyn Winn,691026,71.039,5.469,-29.08,-3.677,41.135999999999996,19.14,0.143,7.461,R,33.57548813337285,23.06399959442486,0.4383700072707899,0.253,0.31,0.363,6.3,19.0
Oneil Cruz,665833,78.842,9.252,-33.474,-7.449,46.32,21.516,0.135,7.773,L,27.828194893611432,26.723138139493678,7.539536801677289,0.2,0.298,0.378,11.8,32.0
Tyler Soderstrom,691016,74.026,9.723,-30.549,0.996,40.536,18.288,0.138,7.488,L,28.7900324995533,31.46359613882218,-0.7874872066157987,0.276,0.346,0.474,8.8,22.6
Jo Adell,666176,77.627,7.986,-33.815,-5.887,43.512,21.035999999999998,0.136,7.729,R,26.084040827644387,28.09498859688565,0.0629663795804308,0.236,0.293,0.485,5.8,26.4
Matt Chapman,656305,75.034,5.603,-25.38,-3.896,41.82,19.872,0.136,7.491,R,28.38533746308423,29.81118849470134,-0.9418090921027276,0.231,0.34,0.43,13.3,23.6
J. T. Realmuto,592663,72.111,12.441,-34.23,0.976,43.980000000000004,20.664,0.142,7.519,R,31.46159234588772,27.4533394178903,-2.909204818738329,0.257,0.315,0.384,6.4,23.5
Trevor Larnach,663616,72.211,8.341,-34.043,-10.599,45.516000000000005,21.264,0.137,7.268,L,28.59709066296012,27.236869728535883,5.657479239770815,0.25,0.323,0.404,9.3,21.5
Zach Neto,687263,71.379,17.936,-39.041,-5.519,39.336,18.636,0.135,7.048,R,18.396315015753824,21.574114493487063,17.91012103611313,0.257,0.319,0.474,6.0,26.9
Bryce Harper,547180,74.171,11.597,-35.541,-2.246,38.604,19.464000000000002,0.135,7.342,L,23.55895645995716,29.460070719572844,9.63673889338813,0.261,0.357,0.487,12.1,20.9
Ryan O'Hearn,656811,71.889,11.418,-33.491,1.342,41.483999999999995,19.259999999999998,0.135,7.132,L,26.051705787192585,29.257733465881543,0.2694821608279683,0.281,0.366,0.437,10.7,20.0
Jake Cronenworth,630105,70.797,7.24,-31.072,-0.371,39.816,18.588,0.135,7.004,L,33.40777987346617,28.303564302458923,-2.8000045664885684,0.246,0.367,0.377,13.4,20.8
Michael Harris,671739,74.251,6.919,-30.708,-1.01,41.988,19.596,0.148,8.04,L,31.00639067128448,28.52695816771252,-0.2196485746585294,0.249,0.268,0.409,2.5,20.0
Nick Castellanos,592206,70.544,15.08,-39.962,-4.545,46.644,22.512,0.149,7.685,R,29.80162778035332,29.03611660351782,0.9842853068451074,0.25,0.294,0.4,5.4,22.6
Nolan Schanuel,694384,67.457,8.524,-38.462,-0.867,42.912,20.328,0.135,6.69,L,30.00445650353474,23.252882729647265,0.7457914565063295,0.264,0.353,0.389,10.5,12.6
Willson Contreras,575929,75.97,9.453,-32.756,-1.802,41.928000000000004,19.464000000000002,0.143,7.963,R,22.61570570728384,30.312338760464566,5.3276165247128215,0.257,0.344,0.447,7.8,25.2
Ke'Bryan Hayes,663647,71.175,4.286,-26.453,1.479,38.928000000000004,18.072,0.13,6.784,R,32.95026918938592,25.850927394011325,1.5721917535693872,0.235,0.29,0.306,6.3,19.5
Adolis García,666969,72.214,8.777,-28.046,-0.532,41.268,19.956,0.143,7.584,R,29.04954147192146,25.173342886382752,2.263169388274959,0.227,0.271,0.394,5.1,24.7
Hunter Goodman,696100,74.439,13.402,-25.259,-7.258,41.388,19.428,0.133,7.253,R,28.678585772690276,29.52527603927106,10.093033401052166,0.278,0.323,0.52,5.7,26.3
Brandon Lowe,664040,73.908,14.839,-33.492,-2.599,38.988,17.46,0.133,7.19,L,27.046270606855398,26.609439933688257,7.051700737967022,0.256,0.307,0.477,6.9,26.9
Jazz Chisholm,665862,73.903,15.822,-32.912,-6.015,44.544000000000004,20.82,0.144,7.803,L,30.23551748771398,25.825647370959157,1.403091109489078,0.242,0.332,0.481,10.9,27.9
Otto Lopez,672640,71.697,7.429,-29.94,-2.354,39.996,18.84,0.129,6.797,R,29.305282154620286,28.51782077507989,1.173893723128802,0.246,0.305,0.368,7.4,13.8
Agustín Ramírez,682663,75.342,7.453,-25.189,-3.213,38.604,17.964000000000002,0.136,7.515,R,28.26196183147211,30.15480855084501,2.081142921495337,0.231,0.287,0.413,6.2,19.3
Ceddanne Rafaela,678882,70.913,11.466,-32.601,-1.387,42.192,19.86,0.143,7.443,R,30.49056792069948,26.782601397792256,3.0291038515527013,0.249,0.295,0.414,4.8,19.9
Ketel Marte,606466,74.758,10.168,-31.875,-7.32,43.464,20.448,0.143,7.842,L,30.09014684727331,21.848006603028686,6.635637477135112,0.283,0.376,0.517,11.5,14.9
Ketel Marte,606466,74.758,10.168,-31.875,-7.32,43.464,20.448,0.143,7.842,R,30.110043043571192,24.99197946889154,6.737810119749008,0.283,0.376,0.517,11.5,14.9
Jackson Chourio,694192,73.84,7.114,-26.432,1.507,40.68,19.332,0.139,7.505,R,24.74465257629376,30.415434926582137,3.2071228560614378,0.27,0.308,0.463,5.1,20.5
Cedric Mullins,656775,71.007,11.393,-29.185,-6.222,41.508,19.044,0.145,7.551,L,31.76567552936179,24.14733813014905,-3.116323986121444,0.216,0.299,0.391,10.0,24.1
Teoscar Hernández,606192,72.975,10.315,-31.87,-0.124,42.647999999999996,19.908,0.146,7.812,R,30.733034242244635,29.887693330099456,-0.2679431379485444,0.247,0.284,0.454,4.8,24.5
Xander Bogaerts,593428,72.235,10.16,-31.013,-6.981,43.56,20.076,0.139,7.337,R,19.703259778146546,29.09519807471681,15.05115640136546,0.263,0.328,0.391,8.7,17.0
Paul Goldschmidt,502671,72.731,9.75,-31.968,2.155,41.916,19.200000000000003,0.142,7.594,R,25.89278115021669,34.04792800200249,-4.87371621298421,0.274,0.328,0.403,6.7,18.7
Josh Bell,605137,73.169,10.065,-33.69,-3.018,44.664,21.084,0.149,7.972,L,28.73125385342881,28.728980052757137,-0.9861490695354008,0.237,0.325,0.417,10.7,16.5
Josh Bell,605137,73.169,10.065,-33.69,-3.018,44.664,21.084,0.149,7.972,R,31.95073566628584,27.325227538893017,-4.932132305203731,0.237,0.325,0.417,10.7,16.5
Marcus Semien,543760,68.434,15.774,-34.774,-3.856,40.272,19.692,0.154,7.721,R,28.006150999723317,23.99078964654857,2.4868551304501683,0.23,0.305,0.364,9.4,17.4
Chase Meidroth,805367,67.335,6.558,-29.345,2.264,37.356,17.712,0.135,6.647,R,31.592660338037675,28.231522443556997,-2.4462233990464988,0.253,0.329,0.32,8.9,14.3
Lenyn Sosa,672820,72.619,10.52,-32.633,0.367,40.248000000000005,19.224,0.14,7.426,R,30.35734244085724,27.5184197077841,2.36326385984688,0.264,0.293,0.434,3.3,23.3
Gavin Lux,666158,69.573,11.323,-33.273,2.42,39.528,18.72,0.144,7.362,L,33.26724487239679,26.494061280286164,-1.1678640820720771,0.269,0.35,0.374,11.1,22.7
Byron Buxton,621439,75.089,14.125,-34.047,-6.277,41.400000000000006,18.72,0.144,7.937,R,23.5645448775555,27.764556111202417,4.675556076565207,0.264,0.327,0.551,7.6,27.3
Ben Rice,700250,73.479,10.703,-33.257,-6.074,44.436,21.264,0.137,7.37,L,30.847992976850605,28.50480558702399,-2.376121700552786,0.255,0.337,0.499,9.4,18.9
Zach Mckinstry,656716,67.606,9.876,-37.454,1.381,39.996,18.624000000000002,0.137,6.798,L,27.365093267842045,26.45161206712915,-0.071971935174126,0.259,0.333,0.438,9.0,21.7
Josh Naylor,647304,70.893,7.467,-31.327,-8.231,38.388,18.12,0.146,7.579,L,25.402862591007423,26.58322079323627,-0.0979136033965698,0.295,0.353,0.462,7.9,13.7
